#¹       t            Uin          Uout
0        3,1400        0,0017       10,0042
1        3,2447       -0,1021        9,7448
2        3,3493       -0,1942        9,5145
3        3,4540       -0,2747        9,3132
4        3,5587       -0,3437        9,1409
5        3,6633       -0,4013        8,9967
6        3,7680       -0,4481        8,8799
7        3,8727       -0,4843        8,7891
8        3,9773       -0,5108        8,7231
9        4,0820       -0,5279        8,6802
10        4,1867       -0,5366        8,6586
11        4,2913       -0,5374        8,6566
12        4,3960       -0,5311        8,6722
13        4,5007       -0,5186        8,7035
14        4,6053       -0,5006        8,7485
15        4,7100       -0,4779        8,8053
16        4,8147       -0,4512        8,8719
17        4,9193       -0,4214        8,9466
18        5,0240       -0,3890        9,0276
19        5,1287       -0,3548        9,1131
20        5,2333       -0,3193        9,2017
21        5,3380       -0,2833        9,2919
22        5,4427       -0,2471        9,3823
23        5,5473       -0,2113        9,4717
24        5,6520       -0,1763        9,5592
25        5,7567       -0,1425        9,6437
26        5,8613       -0,1102        9,7244
27        5,9660       -0,0797        9,8008
28        6,0707       -0,0512        9,8721
29        6,1753       -0,0248        9,9381
30        6,2800       -0,0007        9,9983
#dt = 0,1047
